region,sample,yield,uncertainty
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,data,595.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,Bkg,11674.7504088,106.23694851
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,MC,11674.7504088,106.23694851
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,diboson,433.732485384,82.8587307164
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,zjets,11229.1597246,131.872864165
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,ttbar,6.6929609479,2.51121735256
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,stop,0.474651440289,0.431249545556
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,S/B,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,S/sqrt(S+B),0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,VHbb,1.31490511203,0.423027698154
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,SignalExpected,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,data,11656.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,Signal,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,wjets,3.37568127065,1.08077817916
